time,HA_open,HA_high,HA_low,HA_close,trendline,atr_condition,trade_signal
0,1003.75,1036.05,963.35,1001.725,1001.725,False,0
1,1002.7375,1050.9,975.7,1010.1250000000001,1001.725,False,0
2,1006.4312500000001,1006.4312500000001,984.9,992.925,1001.725,False,0
3,999.678125,1010.0,997.9,1003.275,1001.725,False,0
4,1001.4765625,1025.0,1001.4765625,1012.3875,1001.725,False,0
5,1006.93203125,1050.0,1006.93203125,1029.1875,1001.725,False,0
6,1018.059765625,1075.1,1018.059765625,1044.9375,1001.725,False,0
7,1031.4986328125,1055.25,1031.4986328125,1047.625,1001.725,False,0
8,1039.56181640625,1075.9,1039.56181640625,1064.075,1001.725,False,0
9,1051.818408203125,1083.65,1046.85,1068.2125,1001.725,False,0
10,1060.0154541015627,1083.65,1030.0,1062.9375,1001.725,False,0
11,1061.4764770507813,1061.7,1052.1,1055.0875,1001.725,False,0
12,1058.2819885253907,1058.2819885253907,1052.1,1052.1,1001.725,False,0
13,1055.1909942626953,1066.4,1052.1,1059.25,1001.725,False,0
14,1057.2204971313477,1066.4,1042.6,1054.5,1001.725,False,0
15,1055.8602485656738,1055.8602485656738,1020.0,1040.65,1001.725,True,0
16,1048.255124282837,1050.0,1010.9,1032.725,1001.725,True,0
17,1040.4900621414185,1040.4900621414185,1011.0,1015.5,1001.725,True,0
18,1027.9950310707093,1032.1,1011.0,1021.55,1001.725,True,0
19,1024.7725155353546,1032.1,1024.7725155353546,1032.1,1001.725,False,0
20,1028.4362577676773,1032.1,1028.4362577676773,1032.1,1001.725,False,0
21,1030.2681288838385,1032.1,1030.0,1031.05,1001.725,False,0
22,1030.6590644419193,1030.6590644419193,1030.0,1030.0,1001.725,False,0
23,1030.3295322209597,1030.3295322209597,1004.7,1017.3499999999999,1001.725,False,0
24,1023.8397661104798,1023.8397661104798,1004.7,1004.7,1001.725,False,0
25,1014.2698830552399,1014.2698830552399,1004.7,1004.7,1001.725,False,0
26,1009.48494152762,1035.0,1004.7,1019.85,1001.725,False,0
27,1014.66747076381,1054.7,1014.66747076381,1044.85,1001.725,False,0
28,1029.758735381905,1075.0,1029.758735381905,1064.85,1001.725,True,1
29,1047.3043676909524,1106.05,1047.3043676909524,1085.9125,1001.725,True,1
30,1066.6084338454762,1121.05,1066.6084338454762,1104.3249999999998,1001.725,True,1
31,1085.466716922738,1135.0,1085.466716922738,1115.55,1001.725,True,1
32,1100.508358461369,1116.75,1100.508358461369,1116.75,1001.725,True,1
33,1108.6291792306845,1116.75,1108.6291792306845,1116.75,1001.725,True,0
34,1112.6895896153424,1147.35,1112.6895896153424,1132.05,1001.725,True,1
35,1122.369794807671,1147.35,1122.369794807671,1140.55,1001.725,True,1
36,1131.4598974038354,1136.2,1131.4598974038354,1135.2375,1001.725,False,0
37,1133.3486987019178,1135.75,1097.05,1116.4,1001.725,True,0
38,1124.874349350959,1130.05,1097.05,1113.55,1001.725,True,0
39,1119.2121746754794,1130.05,1119.2121746754794,1130.05,1001.725,False,0
40,1124.6310873377397,1130.05,1124.6310873377397,1130.05,1001.725,False,0
41,1127.34054366887,1130.05,1067.25,1098.65,1001.725,True,0
42,1112.995271834435,1112.995271834435,1067.25,1075.125,1001.725,True,0
43,1094.0601359172174,1094.0601359172174,1080.4,1082.2125,1001.725,True,0
44,1088.1363179586087,1088.1363179586087,1080.4,1080.4,1001.725,False,0
45,1084.2681589793044,1096.0,1080.4,1088.2,1001.725,False,0
46,1086.2340794896522,1096.0,1086.2340794896522,1096.0,1001.725,False,0
47,1091.1170397448261,1096.0,1091.1170397448261,1094.85,1001.725,False,0
48,1092.9835198724131,1150.0,1092.9835198724131,1121.85,1001.725,False,0
