entry_time,exit_time,symbol,side,entry_price,exit_price,qty,net_pnl
2026-06-05T09:30:50.141986+05:30,2026-06-05T09:37:09.025011+05:30,NSE:BANKNIFTY26JUN54500CE,CE,1224.9,1226.35,30,28.7838
2026-06-05T09:42:11.336175+05:30,2026-06-05T09:55:48.779629+05:30,NSE:BANKNIFTY26JUN54500CE,CE,1228.25,1275.55,30,1403.6934
2026-06-05T10:00:51.271599+05:30,2026-06-05T10:04:48.634933+05:30,NSE:BANKNIFTY26JUN54600CE,CE,1215.35,1238.6,30,682.6368
2026-06-05T10:09:51.357906+05:30,2026-06-05T10:12:38.582818+05:30,NSE:BANKNIFTY26JUN54700CE,CE,1199.8,1146,30,-1627.752
2026-06-05T10:25:56.808216+05:30,2026-06-05T10:27:47.728406+05:30,NSE:BANKNIFTY26JUN54700CE,CE,1227.4,1168.85,30,-1770.5262
2026-06-05T10:32:50.283603+05:30,2026-06-05T10:34:44.672779+05:30,NSE:BANKNIFTY26JUN54600CE,CE,1194.5,1200.6,30,168.5928
2026-06-05T13:35:44.221098+05:30,2026-06-05T13:44:48.938522+05:30,NSE:BANKNIFTY26JUN54200PE,PE,930.7,957.8,30,801.5064
2026-06-05T14:15:21.524269+05:30,2026-06-05T14:26:10.164330+05:30,NSE:BANKNIFTY26JUN54200PE,PE,968.35,908.3,30,-1812.3996
2026-06-05T15:00:50.714214+05:30,2026-06-05T15:02:50.114105+05:30,NSE:BANKNIFTY26JUN54400CE,CE,1204.8,1250.95,30,1369.4886
2026-06-08T10:10:52.209041+05:30,2026-06-08T11:31:57.250764+05:30,NSE:BANKNIFTY26JUN54200PE,PE,982,1037.3,30,1646.5524
2026-06-08T12:50:46.484334+05:30,2026-06-08T13:06:54.915035+05:30,NSE:BANKNIFTY26JUN54400CE,CE,1236.35,1174.55,30,-1868.0946
2026-06-09T09:30:03.293535+05:30,2026-06-09T09:33:59.085300+05:30,NSE:BANKNIFTY26JUN54700CE,CE,1104.4,1114.6,30,292.6248
2026-06-09T09:55:07.085322+05:30,2026-06-09T10:04:19.185691+05:30,NSE:BANKNIFTY26JUN54800CE,CE,1096.3,1035.2,30,-1845.4224
2026-06-09T10:20:25.048071+05:30,2026-06-09T11:22:52.010483+05:30,NSE:BANKNIFTY26JUN54700CE,CE,1111.95,1051,30,-1841.112
2026-06-09T11:40:59.758766+05:30,2026-06-09T12:04:32.271209+05:30,NSE:BANKNIFTY26JUN54600CE,CE,1111,1218.5,30,3210.378
2026-06-09T12:55:13.570749+05:30,2026-06-09T13:52:11.042999+05:30,NSE:BANKNIFTY26JUN55000CE,CE,1058.5,1117.3,30,1750.5924
2026-06-09T14:10:18.331310+05:30,2026-06-09T14:20:18.517496+05:30,NSE:BANKNIFTY26JUN55100CE,CE,1094,1031.55,30,-1885.8786
2026-06-09T14:37:24.894121+05:30,2026-06-09T14:50:04.097529+05:30,NSE:BANKNIFTY26JUN55200CE,CE,1050,1091,30,1216.908
2026-06-10T09:30:17.857697+05:30,2026-06-10T10:15:10.747830+05:30,NSE:BANKNIFTY26JUN55300CE,CE,1035.55,975,30,-1828.2
2026-06-10T10:35:59.785876+05:30,2026-06-10T12:24:02.812964+05:30,NSE:BANKNIFTY26JUN55400CE,CE,1003.4,1035.95,30,964.0686
2026-06-10T12:55:18.654096+05:30,2026-06-10T13:20:38.083923+05:30,NSE:BANKNIFTY26JUN55400CE,CE,1007.55,1028.65,30,620.6562
2026-06-11T11:55:55.377990+05:30,2026-06-11T12:49:29.261666+05:30,NSE:BANKNIFTY26JUN55400CE,CE,958.6,1025,30,1979.7
2026-06-11T13:05:35.156518+05:30,2026-06-11T13:12:24.029267+05:30,NSE:BANKNIFTY26JUN55500CE,CE,964.05,902.25,30,-1864.827
