entry_time,exit_time,symbol,side,entry_price,exit_price,qty,net_pnl
2026-03-20 04:34:03.524396,2026-03-20 04:55:11.169273,BTCUSD,short,70606.09810588,70718.15298817,100,-14.741396
2026-03-20 04:55:21.744996,2026-03-20 05:25:10.754534,BTCUSD,long,70739.34955668,70699.17460043,100,-7.552454
2026-03-20 05:30:06.736268,2026-03-20 07:04:51.319809,ETHUSD,short,2142.33451909,2127.04961863,100,14.221376
2026-03-20 07:25:04.142548,2026-03-20 07:47:14.179543,BTCUSD,long,70476.15506547,70812.71309918,100,30.115168
2026-03-20 07:25:01.955440,2026-03-20 08:01:51.648177,ETHUSD,long,2139.37838343,2147.27187307,100,6.819854
2026-03-20 09:04:02.684452,2026-03-20 09:31:07.342497,ETHUSD,short,2156.44143167,2143.89695552,100,11.472528
2026-03-20 10:40:04.012602,2026-03-20 11:13:28.570095,BTCUSD,long,70539.7178241,70673.26863133,100,9.821417
2026-03-20 11:39:02.807301,2026-03-20 12:07:02.884104,BTCUSD,short,70386.2705587,70567.34600373,100,-21.635912
2026-03-20 12:08:01.418169,2026-03-20 12:33:03.237210,ETHUSD,long,2149.28914345,2137.13035333,100,-13.227355
2026-03-20 12:28:03.783209,2026-03-20 12:43:24.143380,BTCUSD,short,70407.9911994,70298.16027222,100,7.468185
2026-03-20 13:23:01.615549,2026-03-20 13:31:35.300678,BTCUSD,long,70460.53920814,70241.7240752,100,-25.393599
2026-03-20 13:33:01.647811,2026-03-20 13:35:56.523440,BTCUSD,short,70012.99393166,69959.79604792,100,1.821799
2026-03-20 13:33:01.834071,2026-03-20 13:43:40.117740,ETHUSD,short,2132.55401353,2144.20750388,100,-12.725594
2026-03-20 14:55:05.159631,2026-03-20 15:00:36.039577,BTCUSD,short,69668.93430448,69836.26233061,100,-20.224616
2026-03-20 14:55:02.953395,2026-03-20 15:23:38.266623,ETHUSD,short,2125.87957287,2136.78553775,100,-11.974358
2026-03-20 15:26:02.047326,2026-03-20 15:35:54.429588,BTCUSD,long,69721.45855573,69847.70101953,100,9.131861
2026-03-20 16:34:02.945667,2026-03-20 16:40:08.195040,BTCUSD,short,69854.81956955,69737.70290233,100,8.224782
2026-03-20 17:06:01.049532,2026-03-20 17:10:56.695266,BTCUSD,long,69694.49055178,69793.8057164,100,6.441826
2026-03-20 16:34:00.761446,2026-03-20 17:38:43.376255,ETHUSD,short,2135.56015067,2125.74371146,100,8.753567
2026-03-20 17:56:04.903536,2026-03-20 17:59:22.533282,BTCUSD,long,69790.35777045,69907.89871747,100,8.2587
2026-03-20 18:25:03.035829,2026-03-20 18:33:57.206202,BTCUSD,short,69757.67751561,69631.26109038,100,9.160079
2026-03-20 19:04:01.246262,2026-03-20 19:06:37.336430,BTCUSD,long,69863.21889353,69713.01194446,100,-18.506346
2026-03-20 18:25:03.245772,2026-03-20 19:47:00.889393,ETHUSD,short,2124.94518959,2126.70594545,100,-2.824109
2026-03-20 19:47:03.257561,2026-03-20 20:32:03.622174,ETHUSD,long,2127.30105579,2125.59167904,100,-2.772173
2026-03-20 20:21:01.247291,2026-03-20 20:37:31.178862,BTCUSD,short,69966.1092862,69803.67133456,100,12.753612
2026-03-20 20:51:01.705143,2026-03-20 21:19:21.801890,BTCUSD,long,70028.46524201,70434.14646523,100,37.046415
2026-03-20 20:51:01.880937,2026-03-20 21:40:14.276348,ETHUSD,long,2133.478396,2149.00467589,100,14.451778
2026-03-20 21:44:05.792510,2026-03-20 22:04:03.166779,ETHUSD,short,2144.56170358,2156.77318651,100,-13.28987
2026-03-20 22:04:05.557269,2026-03-20 22:48:04.585132,ETHUSD,long,2156.77318651,2152.26678128,100,-5.582539
2026-03-20 22:48:06.984383,2026-03-20 23:21:10.327245,ETHUSD,short,2152.63376898,2147.62503015,100,3.934926
2026-03-20 23:53:00.716636,2026-03-21 00:21:17.327305,BTCUSD,long,70562.97098508,70712.44486017,100,11.411765
