entry_time,exit_time,symbol,side,entry_price,exit_price,qty,net_pnl
2026-04-12 14:42:30,2026-04-12 17:07:05,BTCUSD,short,70799.96540667,72927.90220008,50,-109.990036
2026-04-12 17:07:08,2026-04-12 19:10:35,BTCUSD,short,70918.98943561,71120.33644808,50,-13.618334
2026-04-12 20:08:14,2026-04-12 20:40:34,BTCUSD,short,70992.07377038,71232.42511166,50,-15.57318
2026-04-12 22:00:53,2026-04-12 22:06:08,BTCUSD,short,70990.74796762,70888.51454562,50,1.56469
2026-04-12 22:27:13,2026-04-12 22:35:33,BTCUSD,short,70569.35837121,70772.28012149,50,-13.679628
2026-04-12 23:31:10,2026-04-12 23:56:52,BTCUSD,short,70562.92043862,70769.7818886,50,-13.87639
2026-04-13 00:03:57,2026-04-13 00:08:27,BTCUSD,short,70593.29668388,70796.46773525,50,-13.693297
2026-04-13 00:27:26,2026-04-13 01:30:44,BTCUSD,long,71010.77789029,71010.51554895,50,-3.563649
2026-04-13 02:00:30,2026-04-13 02:12:29,BTCUSD,long,71227.2593718,71018.38004362,50,-14.000107
2026-04-13 02:25:26,2026-04-13 02:38:13,BTCUSD,long,71238.22322183,71037.76951679,50,-13.579585
