entry_time,exit_time,symbol,side,entry_price,exit_price,qty,net_pnl
2026-04-24 20:37:03,2026-04-24 20:54:02,ETHUSD,short,2300.85480489,2313.09858129,100,-14.550753
2026-04-24 20:37:02,2026-04-24 21:15:08,BTCUSD,short,77565.28007535,77955.99710645,100,-46.847767
2026-04-24 21:15:02,2026-04-24 21:46:07,ETHUSD,long,2323.82372289,2314.12402354,100,-12.018673
2026-04-24 21:49:04,2026-04-24 22:06:04,BTCUSD,short,77676.24851418,77859.09958207,100,-26.061874
2026-04-24 23:05:05,2026-04-24 23:25:09,ETHUSD,short,2309.26623894,2318.12855253,100,-11.176011
2026-04-24 23:47:02,2026-04-25 00:31:06,BTCUSD,short,77384.79532225,77654.92372683,100,-34.764826
2026-04-25 00:32:08,2026-04-25 00:37:02,BTCUSD,long,77702.89212233,77544.57120319,100,-23.594465
2026-04-25 00:32:01,2026-04-25 01:40:05,ETHUSD,long,2323.15789228,2317.31327814,100,-8.16485
2026-04-25 01:59:05,2026-04-25 02:04:07,ETHUSD,short,2316.32070858,2318.89794114,100,-4.894842
2026-04-25 01:55:08,2026-04-25 02:07:08,BTCUSD,short,77471.07751387,77623.97100193,100,-23.044101
2026-04-25 02:28:09,2026-04-25 02:45:07,BTCUSD,long,77726.05779175,77551.41537482,100,-25.228115
2026-04-25 02:06:03,2026-04-25 02:45:10,ETHUSD,long,2320.28800009,2314.2457224,100,-8.359545
