entry_time,exit_time,symbol,side,entry_price,exit_price,qty,net_pnl
2026-03-10 14:13:52,2026-03-10 14:26:31,BTCUSD,short,69531.73972786,69806.56639696,100,-30.972995
2026-03-10 14:14:08,2026-03-10 14:40:35,ETHUSD,short,2016.0040026,2041.58447634,100,-26.601266
2026-03-10 14:35:20,2026-03-10 15:16:01,BTCUSD,long,69939.12998973,71009.64320385,100,103.500839
2026-03-10 15:31:24,2026-03-10 15:39:30,BTCUSD,long,71431.6988136,71118.93762589,100,-34.832066
2026-03-10 14:41:13,2026-03-10 17:37:39,ETHUSD,long,2044.03919143,2063.89529891,100,18.82416
2026-03-10 15:40:47,2026-03-10 17:38:35,BTCUSD,long,71070.77659983,70643.10227853,100,-46.299587
2026-03-10 17:38:16,2026-03-10 17:49:21,ETHUSD,short,2062.75318059,2075.92406577,100,-14.208847
2026-03-10 17:39:12,2026-03-10 17:54:37,BTCUSD,short,70572.07290111,70873.99183475,100,-33.735593
2026-03-10 18:15:40,2026-03-10 20:04:30,BTCUSD,short,70334.30383254,70086.41136941,100,21.284926
2026-03-10 17:50:38,2026-03-10 20:29:29,ETHUSD,short,2073.86360512,2044.82127424,100,28.01992
2026-03-10 20:05:09,2026-03-10 21:38:16,BTCUSD,long,70131.88218359,69775.82454922,100,-39.094555
2026-03-10 20:30:07,2026-03-10 21:38:36,ETHUSD,long,2044.39175754,2032.1194239,100,-13.288393
2026-03-10 21:40:45,2026-03-10 23:01:34,BTCUSD,short,69741.65871438,69793.28117657,100,-8.65191
