time,HA_open,HA_high,HA_low,HA_close,trendline
0,74956.5,75108.5,74858.5,74970.0,74970.0
1,74963.25,75088.5,74813.0,74978.75,74970.0
2,74971.0,75047.0,74598.5,74825.25,74970.0
3,74898.125,74898.125,74478.0,74628.5,74970.0
4,74763.3125,74873.5,74557.0,74659.5,74970.0
5,74711.40625,74711.40625,74238.5,74427.125,75088.5
6,74569.265625,74569.265625,74243.5,74400.0,75088.5
7,74484.6328125,74838.0,74484.6328125,74622.5,75088.5
8,74553.56640625,74989.0,73264.5,74150.375,74989.0
9,74351.970703125,74351.970703125,73394.5,73817.375,74989.0
10,74084.6728515625,74876.5,73907.0,74349.375,74989.0
11,74217.02392578125,74908.5,74029.0,74438.5,74989.0
12,74327.76196289062,74418.5,73879.0,74188.625,74989.0
13,74258.19348144531,75072.5,74209.0,74649.625,74989.0
14,74453.90924072266,75385.5,74453.90924072266,75107.375,73879.0
15,74780.64212036133,75508.0,74780.64212036133,75249.25,73879.0
16,75014.94606018066,75254.0,74770.0,75033.25,73879.0
17,75024.09803009033,75097.5,74798.0,74914.375,73879.0
18,74969.23651504517,75153.5,74807.0,74979.0,73879.0
19,74974.11825752258,75126.5,74855.0,75000.875,73879.0
20,74987.49662876129,75006.0,74539.0,74791.625,73879.0
21,74889.56081438065,74889.56081438065,74491.5,74665.5,73879.0
22,74777.53040719032,74820.0,74570.0,74664.5,73879.0
23,74721.01520359516,74825.0,74557.0,74680.0,73879.0
24,74700.50760179758,74770.0,74510.0,74658.375,73879.0
25,74679.44130089879,74906.5,74559.5,74740.5,73879.0
26,74709.9706504494,75060.5,74709.9706504494,74975.125,74510.0
27,74842.5478252247,75847.0,74842.5478252247,75399.0,74510.0
28,75120.77391261235,76346.0,75120.77391261235,75828.0,74510.0
29,75474.38695630617,75854.0,75040.0,75467.375,74510.0
30,75470.88097815309,75565.0,75196.0,75381.375,74510.0
31,75426.12798907654,76235.0,75426.12798907654,75863.25,74510.0
32,75644.68899453827,77376.5,75644.68899453827,76720.375,75040.0
33,76182.53199726914,78000.0,76182.53199726914,77524.375,75040.0
34,76853.45349863457,77939.0,76853.45349863457,77722.75,75040.0
35,77288.10174931728,78291.0,77288.10174931728,77873.125,75426.12798907654
36,77580.61337465864,77869.5,77043.5,77545.75,75426.12798907654
37,77563.18168732931,77563.18168732931,77029.5,77281.625,75426.12798907654
38,77422.40334366466,77427.5,76950.0,77210.125,75426.12798907654
39,77316.26417183233,77564.0,77110.0,77334.5,75426.12798907654
40,77325.38208591616,77459.0,77230.0,77343.125,75426.12798907654
41,77334.25354295809,77475.0,77225.5,77338.875,75426.12798907654
42,77336.56427147904,77336.56427147904,76855.0,77101.75,75426.12798907654
43,77219.15713573952,77219.15713573952,76931.0,77075.875,75426.12798907654
44,77147.51606786976,77288.0,77072.5,77170.375,75426.12798907654
45,77158.94553393488,77380.0,77085.0,77222.625,75426.12798907654
46,77190.78526696743,77254.5,76915.5,77095.75,75426.12798907654
47,77143.26763348372,77143.26763348372,76826.0,76994.75,75426.12798907654
48,77069.00881674186,77225.0,77063.5,77109.875,75426.12798907654
49,77089.44190837094,77178.5,77007.5,77086.75,75426.12798907654
50,77088.09595418547,77088.09595418547,76833.0,76984.5,75426.12798907654
51,77036.29797709273,77036.29797709273,76460.0,76777.625,75426.12798907654
52,76906.96148854637,76906.96148854637,76366.0,76578.375,75426.12798907654
53,76742.66824427318,76742.66824427318,76092.0,76339.0,75426.12798907654
54,76540.83412213658,76540.83412213658,75714.5,76003.875,75426.12798907654
55,76272.35456106829,76272.35456106829,76000.0,76110.125,75426.12798907654
