entry_time,exit_time,symbol,side,entry_price,exit_price,qty,net_pnl
2026-04-11 13:11:43,2026-04-11 13:29:34,BTCUSD,long,72542.78088746,72602.9371764,100,-1.241657
2026-04-11 13:31:39,2026-04-11 13:57:55,BTCUSD,long,72623.13394025,72650.78341854,100,-4.498748
2026-04-11 14:38:11,2026-04-11 14:43:08,BTCUSD,short,72611.43325148,72592.57440044,100,-5.374315
2026-04-11 15:17:36,2026-04-11 15:18:13,ETHUSD,long,2254.38001141,2249.88626888,100,-6.745876
2026-04-11 15:58:27,2026-04-11 16:18:31,BTCUSD,long,72819.40933964,72850.94451415,100,-4.13
2026-04-11 15:35:15,2026-04-11 16:18:34,ETHUSD,long,2248.24041723,2247.69272386,100,-2.79566
2026-04-11 16:37:44,2026-04-11 16:41:28,ETHUSD,long,2248.66184365,2264.86044276,100,13.941838
2026-04-11 16:40:59,2026-04-11 16:42:53,BTCUSD,long,72943.29226634,73006.62756651,100,-0.963966
2026-04-11 16:44:43,2026-04-11 16:53:36,BTCUSD,long,73042.28359985,73045.08974044,100,-7.023755
2026-04-11 17:10:18,2026-04-11 17:48:50,ETHUSD,long,2256.18418277,2259.09063475,100,0.648815
2026-04-11 18:08:51,2026-04-11 18:32:58,ETHUSD,long,2257.95773733,2269.82458176,100,9.602953
2026-04-11 18:35:35,2026-04-11 18:41:42,BTCUSD,long,73295.58488269,73465.76842092,100,9.680286
2026-04-11 19:14:53,2026-04-11 19:54:15,BTCUSD,long,73539.62010418,73603.57759327,100,-0.961411
2026-04-11 21:34:42,2026-04-11 22:00:46,BTCUSD,long,73390.5985363,73341.31968034,100,-12.264482
2026-04-11 22:09:48,2026-04-11 23:07:24,BTCUSD,long,73497.65739867,72973.38928865,100,-59.750363
2026-04-11 23:25:04,2026-04-11 23:35:11,BTCUSD,long,73175.75090464,73063.60694228,100,-18.526364
2026-04-12 01:37:29,2026-04-12 01:38:12,ETHUSD,long,2253.21184604,2246.5993113,100,-8.86244
2026-04-12 01:43:26,2026-04-12 01:46:00,ETHUSD,short,2229.74807616,2224.84108856,100,2.679693
2026-04-12 01:35:19,2026-04-12 01:51:00,BTCUSD,short,72370.29213605,71525.91623248,100,77.24278
2026-04-12 06:07:40,2026-04-12 07:39:15,ETHUSD,short,2218.702884,2217.15858453,100,-0.673631
2026-04-12 07:53:11,2026-04-12 11:14:03,ETHUSD,short,2219.18537196,2206.12106814,100,10.851651
2026-04-13 01:50:48,2026-04-13 02:04:53,ETHUSD,short,2202.74675003,2201.65101026,100,-1.106459
2026-04-13 01:54:09,2026-04-13 02:25:16,BTCUSD,short,71136.30010666,71146.47208384,100,-8.131336
2026-04-13 02:09:15,2026-04-13 02:25:17,ETHUSD,short,2200.50117391,2200.57282668,100,-2.27219
2026-04-13 11:00:13,2026-04-13 12:47:02,ETHUSD,short,2183.64514164,2183.60581758,100,-2.144301
2026-04-13 12:08:53,2026-04-13 12:52:03,BTCUSD,short,70987.26374771,70917.19422449,100,-0.088271
2026-04-13 12:55:57,2026-04-13 13:00:52,ETHUSD,short,2194.62772843,2194.05344587,100,-1.620058
