entry_time,exit_time,symbol,side,entry_price,exit_price,qty,net_pnl
2026-04-16 21:48:07,2026-04-16 23:32:46,ETHUSD,short,2339.12204104,2333.05090578,427,15.948658
2026-04-16 22:16:46,2026-04-17 00:15:46,BTCUSD,short,74331.3668109,74626.94890331,134,-49.588208
2026-04-16 23:33:49,2026-04-17 00:23:06,ETHUSD,short,2329.05405728,2344.17378399,430,-75.062265
2026-04-17 00:24:09,2026-04-17 01:12:17,ETHUSD,short,2342.03729589,2358.08072145,422,-77.620505
2026-04-17 01:16:45,2026-04-17 06:51:29,BTCUSD,long,75257.80152579,74712.82752268,130,-80.594711
2026-04-17 01:13:18,2026-04-17 12:37:58,ETHUSD,short,2357.81583567,2340.72594407,416,61.320982
2026-04-17 07:01:21,2026-04-17 14:03:48,BTCUSD,short,74717.29274362,75258.00635959,130,-80.041165
2026-04-17 12:38:58,2026-04-17 14:05:27,ETHUSD,short,2339.34360829,2353.14266446,418,-67.487351
2026-04-17 14:31:45,2026-04-17 15:06:27,BTCUSD,long,75670.30159656,75529.22687091,127,-27.51766
2026-04-17 15:01:15,2026-04-17 16:01:14,ETHUSD,long,2358.8199977,2336.55620327,408,-100.414849
2026-04-17 15:07:30,2026-04-17 16:01:18,BTCUSD,long,75564.56701552,75086.51107886,127,-70.279447
