time,HA_open,HA_high,HA_low,HA_close,Trendline
0,91880.5,91994.0,91805.0,91890.0,91994.0
1,91885.25,91885.25,91760.5,91832.125,91760.5
2,91858.6875,92056.5,91858.6875,91955.125,91760.5
3,91906.90625,92031.0,91906.90625,92001.875,91760.5
4,91954.390625,92082.0,91954.390625,92031.0,91760.5
5,91992.6953125,92144.5,91992.6953125,92092.0,91760.5
6,92042.34765625,92174.0,92042.34765625,92099.25,91760.5
7,92070.798828125,92135.5,92070.798828125,92099.625,91760.5
8,92085.2119140625,92087.0,91879.0,91992.5,91760.5
9,92038.85595703125,92038.85595703125,91878.5,91924.125,91760.5
10,91981.49047851562,91981.49047851562,91838.5,91910.0,91760.5
11,91945.74523925781,91946.5,91889.0,91918.875,91760.5
12,91932.3101196289,92005.5,91912.0,91962.5,91760.5
13,91947.40505981445,92005.5,91890.0,91952.75,91760.5
14,91950.07752990723,91950.07752990723,91859.0,91896.0,91760.5
15,91923.03876495361,91923.03876495361,91859.0,91885.75,91760.5
16,91904.3943824768,91971.5,91876.5,91931.0,91760.5
17,91917.6971912384,92052.0,91917.6971912384,92003.125,91760.5
18,91960.4110956192,92119.5,91960.4110956192,92060.375,91760.5
19,92010.3930478096,92077.5,91974.0,92022.0,91760.5
20,92016.1965239048,92040.0,91971.0,92006.375,91760.5
21,92011.2857619524,92058.5,91987.5,92021.25,91760.5
22,92016.2678809762,92026.5,91899.0,91989.25,91760.5
23,92002.7589404881,92075.5,92000.0,92030.875,91760.5
24,92016.81697024405,92073.0,92009.0,92044.5,91760.5
25,92030.65848512203,92140.0,92030.65848512203,92090.375,91760.5
26,92060.51674256101,92243.5,92060.51674256101,92140.5,91760.5
27,92100.5083712805,92255.5,92100.5083712805,92209.375,91760.5
28,92154.94168564025,92248.0,92154.94168564025,92215.75,91760.5
29,92185.34584282013,92418.5,92185.34584282013,92310.375,91760.5
30,92247.86042141006,92430.0,92247.86042141006,92360.0,91760.5
31,92303.93021070503,92402.0,92288.0,92331.5,91760.5
32,92317.71510535252,92406.0,92317.71510535252,92357.25,91760.5
33,92337.48255267626,92465.0,92337.48255267626,92411.75,92465.0
34,92374.61627633813,92426.0,92366.5,92394.25,92465.0
35,92384.43313816906,92410.0,92346.0,92372.875,92465.0
36,92378.65406908453,92378.65406908453,92252.5,92317.875,92465.0
37,92348.26453454226,92348.26453454226,92192.5,92261.0,92465.0
38,92304.63226727114,92304.63226727114,92185.0,92226.5,92465.0
39,92265.56613363557,92265.56613363557,92171.5,92213.375,92465.0
40,92239.47056681779,92239.47056681779,92065.5,92151.25,92465.0
41,92195.3602834089,92195.3602834089,92030.0,92070.5,92465.0
42,92132.93014170445,92132.93014170445,92061.0,92084.125,92465.0
43,92108.52757085222,92108.52757085222,91979.0,92036.75,92465.0
44,92072.63878542611,92134.0,91990.0,92057.0,92465.0
45,92064.81939271305,92143.5,92030.0,92071.875,92465.0
46,92068.34719635652,92069.5,92006.0,92029.125,92465.0
47,92048.73609817825,92051.0,91971.0,92021.75,92465.0
48,92035.24304908913,92051.0,91866.5,91990.375,92465.0
49,92012.80902454456,92045.0,91970.5,92005.75,92465.0
50,92009.27951227227,92084.5,92009.27951227227,92044.25,92465.0
51,92026.76475613614,92129.5,92026.76475613614,92083.75,92465.0
52,92055.25737806807,92088.0,91919.5,92023.875,92465.0
53,92039.56618903403,92039.56618903403,91881.0,91946.625,92465.0
54,91993.09559451701,91993.09559451701,91810.0,91862.0,92465.0
55,91927.5477972585,91927.5477972585,91330.0,91592.875,92465.0
56,91760.21139862925,91760.21139862925,91273.0,91381.25,92465.0
57,91570.73069931462,91570.73069931462,91289.0,91352.875,92465.0
58,91461.80284965731,91461.80284965731,91174.5,91280.625,92465.0
59,91371.21392482865,91371.21392482865,91159.0,91226.875,92465.0
60,91299.04446241433,91299.04446241433,90949.0,91117.25,90949.0
61,91208.14723120717,91208.14723120717,90974.0,91060.0,90949.0
62,91134.07361560359,91135.0,90990.0,91064.875,90949.0
63,91099.4743078018,91133.5,90985.5,91056.0,90949.0
