symbol,side,entry_time,exit_time,qty,entry,exit,gross_pnl,commission,net_pnl
BTCUSD,long,2025-12-02 16:00:16.967931,2025-12-02 16:31:44.612166,30,90867.62174532,90481.7645482,-11.575715913599998,1.3572264682229997,-12.932942381822997
BTCUSD,long,2025-12-02 17:00:21.941567,2025-12-02 20:01:18.042252,30,90743.90123,91800.19581747,31.688837624099836,1.37700293726205,30.311834686837788
ETHUSD,long,2025-12-02 16:00:20.908547,2025-12-02 20:30:35.541511,30,3009.88067373,2983.89391968,-7.7960262149999835,0.447584087952,-8.243610302951984
ETHUSD,short,2025-12-02 20:30:58.659717,2025-12-02 22:02:23.233830,30,2987.72231482,3000.19813841,-3.7427470769999673,0.4500297207615,-4.192776797761467
ETHUSD,long,2025-12-02 22:15:21.445906,2025-12-03 00:06:30.472189,30,3012.82913103,2992.58118738,-6.0743830950000754,0.448887178107,-6.523270273107076
ETHUSD,short,2025-12-03 00:30:21.793897,2025-12-03 00:47:04.144018,30,2988.49244444,3001.90691545,-4.024341302999983,0.45028603731749994,-4.4746273403174825
BTCUSD,long,2025-12-03 01:45:19.054112,2025-12-03 06:46:51.932781,30,91949.96455056,93196.12239311,37.384735276499704,1.39794183589665,35.98679344060305
BTCUSD,short,2025-12-03 07:00:10.681079,2025-12-03 07:02:15.928504,30,93399.0606696,93291.08695099,3.2392115583003034,1.39936630426485,1.8398452540354533
ETHUSD,long,2025-12-03 01:15:22.632739,2025-12-03 08:29:22.008087,30,3010.31249789,3048.15125216,11.351626280999925,0.457222687824,10.894403593175925
ETHUSD,short,2025-12-03 08:30:05.968717,2025-12-03 09:16:20.159088,30,3049.11018373,3053.06432126,-1.1862412590000078,0.457959648189,-1.6442009071890078
ETHUSD,short,2025-12-03 09:45:15.438951,2025-12-03 09:53:48.058282,30,3051.55377832,3058.98627602,-2.2297493099998977,0.458847941403,-2.6885972514028977
ETHUSD,long,2025-12-03 10:00:18.275059,2025-12-03 10:46:51.525978,30,3059.75843722,3050.76995963,-2.6965432770000004,0.4576154939445,-3.1541587709445005
BTCUSD,short,2025-12-03 07:15:14.046230,2025-12-03 13:35:29.915703,30,93151.29513051,93034.72530606,3.497094733499835,1.3955208795909002,2.101573853908935
BTCUSD,long,2025-12-03 13:45:23.380819,2025-12-03 14:03:06.425356,30,93143.79673542,92218.3269676,-27.764093034599647,1.3832749045140003,-29.147367939113646
ETHUSD,long,2025-12-03 11:30:04.094531,2025-12-03 14:04:11.266494,30,3069.81086357,3042.22086285,-8.27700021600008,0.4563331294275,-8.73333334542758
ETHUSD,short,2025-12-03 14:15:09.731084,2025-12-03 14:42:43.712813,30,3047.74692844,3137.10474105,-26.807343783000032,0.4705657111575,-27.277909494157534
BTCUSD,short,2025-12-03 14:15:06.510367,2025-12-03 14:43:49.617851,30,91987.73108745,93415.22141167,-42.82470972660027,1.40122832117505,-44.225938047775315
BTCUSD,long,2025-12-03 16:45:17.969435,2025-12-04 00:12:15.980546,30,92652.49984236,93107.02730546,13.635823892999761,1.3966054095819,12.239218483417861
BTCUSD,short,2025-12-04 00:15:23.160981,2025-12-04 01:11:33.333139,30,92909.23555544,93407.82257489,-14.957610583500063,1.4011173386233502,-16.358727922123414
BTCUSD,long,2025-12-04 01:15:20.515790,2025-12-04 01:55:09.027011,30,93695.29689173,93145.14936475,-16.50442580939998,1.3971772404712501,-17.90160304987123
BTCUSD,long,2025-12-04 02:15:15.480530,2025-12-04 05:08:03.814859,30,93679.46443921,93132.03930814,-16.422753932100168,1.3969805896221,-17.819734521722268
ETHUSD,long,2025-12-03 16:00:07.611249,2025-12-04 05:17:40.875722,30,3085.37092037,3181.19134935,28.746128694000028,0.4771787024025,28.268949991597527
ETHUSD,short,2025-12-04 05:30:19.647636,2025-12-04 06:26:50.527916,30,3189.69188227,3202.74797065,-3.9168265139999674,0.4804121955974999,-4.397238709597468
BTCUSD,short,2025-12-04 05:15:15.014189,2025-12-04 07:58:45.912179,30,93174.64579555,93351.49516142,-5.30548097610008,1.4002724274213,-6.70575340352138
BTCUSD,long,2025-12-04 08:00:10.562510,2025-12-04 08:11:07.606564,30,93373.56845919,93132.00156731,-7.247006756400224,1.3969800235096501,-8.643986779909874
ETHUSD,long,2025-12-04 06:30:17.682927,2025-12-04 08:11:10.516177,30,3205.75713949,3181.27062741,-7.345953624000003,0.47719059411150005,-7.823144218111503
ETHUSD,short,2025-12-04 08:35:09.813613,2025-12-04 09:11:12.007079,30,3180.59505572,3195.94639906,-4.605403002000093,0.47939195985900007,-5.084794961859093
ETHUSD,long,2025-12-04 09:50:22.802551,2025-12-04 10:21:14.118473,30,3204.4627529,3194.38808015,-3.0224018249999975,0.47915821202250003,-3.5015600370224975
BTCUSD,long,2025-12-04 09:15:22.182918,2025-12-04 10:50:21.338756,30,93301.81799715,93211.86779069,-2.6985061938002763,1.39817801686035,-4.0966842106606265
ETHUSD,short,2025-12-04 10:50:25.070822,2025-12-04 11:13:22.200467,30,3188.22614072,3189.48810272,-0.3785886000000119,0.47842321540800004,-0.857011815408012
ETHUSD,long,2025-12-04 11:15:07.605900,2025-12-04 11:21:20.592049,30,3190.63038745,3185.19127884,-1.6317325829999847,0.477778691826,-2.1095112748259846
ETHUSD,short,2025-12-04 11:25:11.670389,2025-12-04 11:31:23.825800,30,3187.5412507,3192.34450517,-1.440976340999987,0.4788516757755,-1.9198280167754869
ETHUSD,short,2025-12-04 11:35:13.064750,2025-12-04 12:04:24.641701,30,3179.82522937,3190.90192989,-3.323010155999873,0.47863528948350004,-3.801645445483373
ETHUSD,short,2025-12-04 13:00:17.731737,2025-12-04 13:35:03.407061,10,3175.35788184,3181.64269635,-0.6284814509999705,0.1590821348175,-0.7875635858174705
ETHUSD,short,2025-12-04 14:00:14.095815,2025-12-04 15:39:09.663005,10,3169.53054663,3200.91795041,-3.1387403779999663,0.16004589752049997,-3.298786275520466
BTCUSD,short,2025-12-04 13:15:19.264031,2025-12-04 15:41:14.883713,10,92556.94538483,92862.10005436,-3.051546695299912,0.4643105002718,-3.515857195571712
BTCUSD,short,2025-12-04 15:45:00.601143,2025-12-04 15:45:20.964112,30,93013.18240366,93002.82780623,0.310638,1.395042,-1.084404
ETHUSD,short,2025-12-04 15:45:00.772881,2025-12-04 15:45:21.124364,30,3213.73295827,3215.20610319,-0.441943,0.482281,-0.924224
BTCUSD,short,2025-12-04 15:45:41.316629,2025-12-04 15:46:01.662663,30,92959.9496013,92954.77494165,0.15524,1.394322,-1.239082
ETHUSD,short,2025-12-04 15:45:41.472748,2025-12-04 15:46:01.831530,30,3213.3914485,3213.14619108,0.073577,0.481972,-0.408395
BTCUSD,short,2025-12-04 16:00:17.227394,2025-12-04 16:00:37.771054,30,92960.11008074,92897.74951331,1.870817,1.393466,0.477351
ETHUSD,short,2025-12-04 16:00:17.574237,2025-12-04 16:00:37.941116,30,3208.98507507,3208.8786897,0.031916,0.481332,-0.449416
BTCUSD,short,2025-12-04 16:00:58.133801,2025-12-04 16:01:18.479688,30,92831.38932779,92913.52327638,-2.464018,1.393703,-3.857721
ETHUSD,short,2025-12-04 16:00:58.292558,2025-12-04 16:01:18.666368,30,3205.4218057,3207.12080024,-0.509698,0.481068,-0.990766
BTCUSD,short,2025-12-04 16:15:14.638014,2025-12-04 16:15:34.985770,30,92781.97901002,92763.41303937,0.556979,1.391451,-0.834472
ETHUSD,short,2025-12-04 16:15:14.799049,2025-12-04 16:15:35.160628,30,3193.76629117,3194.84270946,-0.322925,0.479226,-0.802152
BTCUSD,short,2025-12-04 16:15:55.363393,2025-12-04 16:16:15.723406,30,92783.45188881,92791.51518697,-0.241899,1.391873,-1.633772
ETHUSD,short,2025-12-04 16:15:55.523100,2025-12-04 16:16:15.885443,30,3196.78495479,3196.83865521,-0.01611,0.479526,-0.495636
BTCUSD,short,2025-12-04 16:30:15.746074,2025-12-04 16:30:36.096596,30,92833.38326239,92799.90869122,1.004237,1.391999,-0.387761
ETHUSD,short,2025-12-04 16:30:15.901965,2025-12-04 16:30:36.306283,30,3207.31755039,3201.55515156,1.72872,0.480233,1.248486
BTCUSD,short,2025-12-04 16:30:56.502571,2025-12-04 16:31:16.856115,30,92795.43258038,92763.08492007,0.97043,1.391446,-0.421016
ETHUSD,short,2025-12-04 16:30:56.656372,2025-12-04 16:31:17.023612,30,3200.51480079,3199.18070045,0.40023,0.479877,-0.079647
