time,HA_open,HA_high,HA_low,HA_close,Trendline
0,88071.0,88191.0,87966.0,88074.75,88191.0
1,88072.875,88212.0,88039.5,88129.5,88039.5
2,88101.1875,88119.5,87996.5,88063.25,88039.5
3,88082.21875,88090.5,87887.5,87986.625,88039.5
4,88034.421875,88034.421875,87797.5,87876.875,88039.5
5,87955.6484375,88032.0,87766.0,87904.0,88039.5
6,87929.82421875,88031.5,87823.0,87952.75,88039.5
7,87941.287109375,87985.5,87660.0,87826.625,88039.5
8,87883.9560546875,87883.9560546875,87585.0,87673.25,88039.5
9,87778.60302734375,87778.60302734375,87337.5,87525.875,88039.5
10,87652.23901367188,87652.23901367188,87328.5,87384.625,88039.5
11,87518.43200683594,87593.5,87393.0,87470.75,88039.5
12,87494.59100341797,87522.0,87316.5,87430.0,88039.5
13,87462.29550170898,87462.29550170898,86972.0,87182.375,88039.5
14,87322.33525085449,87322.33525085449,86791.5,86907.0,88039.5
15,87114.66762542725,87114.66762542725,86639.0,86754.25,88039.5
16,86934.45881271362,87100.5,86659.5,86869.375,88039.5
17,86901.91690635681,87222.0,86841.0,87080.875,88039.5
18,86991.3959531784,87209.0,86991.3959531784,87106.25,88039.5
19,87048.8229765892,87204.5,86913.0,87081.0,88039.5
20,87064.9114882946,87297.0,87064.9114882946,87199.25,88039.5
21,87132.0807441473,87391.5,87132.0807441473,87273.375,88039.5
22,87202.72787207365,87430.0,87202.72787207365,87369.75,88039.5
23,87286.23893603683,87470.0,87265.0,87384.75,88039.5
24,87335.49446801841,87495.0,87323.0,87403.25,88039.5
25,87369.3722340092,87497.5,87279.0,87374.25,88039.5
26,87371.8111170046,87678.0,87319.0,87488.875,88039.5
27,87430.3430585023,87674.0,87430.3430585023,87596.0,88039.5
28,87513.17152925115,87737.0,87346.0,87567.75,88039.5
29,87540.46076462558,87638.5,87425.0,87537.0,88039.5
30,87538.73038231279,87589.5,87284.0,87476.125,88039.5
31,87507.4276911564,87684.0,87464.0,87571.0,88039.5
32,87539.2138455782,87656.5,86983.5,87302.625,88039.5
33,87420.9194227891,87420.9194227891,86815.0,86986.5,88039.5
34,87203.70971139455,87270.5,86792.5,87015.0,88039.5
35,87109.35485569728,87198.0,86838.5,87034.375,88039.5
36,87071.86492784864,87204.0,86506.5,86850.75,88039.5
37,86961.30746392431,86961.30746392431,86070.5,86529.875,86961.30746392431
38,86745.59123196216,86863.0,86157.5,86568.125,86961.30746392431
39,86656.85811598107,86732.0,86308.5,86581.75,86961.30746392431
40,86619.30405799054,87139.5,86619.30405799054,86934.875,86961.30746392431
41,86777.08952899528,87276.0,86777.08952899528,87051.75,86961.30746392431
42,86914.41976449764,87059.0,86669.0,86872.625,86961.30746392431
43,86893.52238224882,87247.0,86735.5,86996.125,86961.30746392431
44,86944.82369112442,87264.0,86944.82369112442,87129.875,86961.30746392431
45,87037.34934556221,87134.5,86913.5,87052.625,86961.30746392431
46,87044.98717278111,87485.0,87008.5,87255.375,86961.30746392431
47,87150.18108639056,87691.0,87150.18108639056,87447.125,86961.30746392431
48,87298.65304319529,88124.0,87298.65304319529,87732.0,87298.65304319529
49,87515.32652159764,87944.5,87515.32652159764,87754.75,87298.65304319529
50,87635.03826079881,87764.0,87488.5,87609.0,87298.65304319529
51,87622.0191303994,87805.5,87528.5,87635.625,87298.65304319529
52,87628.8220651997,87683.5,87412.0,87550.875,87298.65304319529
53,87589.84853259985,87610.5,87196.0,87372.375,87298.65304319529
54,87481.11176629993,87481.11176629993,86730.5,87041.125,87298.65304319529
55,87261.11838314997,87261.11838314997,86176.0,86569.375,87298.65304319529
56,86915.24669157498,86915.24669157498,86141.5,86397.75,87298.65304319529
57,86656.49834578749,86881.5,86522.0,86710.0,87298.65304319529
