symbol,side,entry_time,exit_time,qty,entry,exit,gross_pnl,commission,net_pnl
BTCUSD,long,2025-12-04 16:45:17.350770,2025-12-04 17:01:28.309025,30,92529.38179004,92457.57776403,-2.154121,1.386864,-3.540984
ETHUSD,long,2025-12-04 16:45:17.853,2025-12-04 17:16:37.206776,30,3181.36794931,3162.70522393,-5.598818,0.474406,-6.073223
BTCUSD,short,2025-12-04 17:15:12.411188,2025-12-04 18:16:41.614752,30,92233.29867888,92186.3164639,1.409466,1.382795,0.026672
BTCUSD,long,2025-12-04 18:30:02.330746,2025-12-04 18:47:15.522744,30,92425.43887173,92013.09825756,-12.370218,1.380196,-13.750415
BTCUSD,short,2025-12-04 19:00:15.774711,2025-12-04 20:01:24.224858,30,92112.10613157,92062.69548592,1.482319,1.38094,0.101379
ETHUSD,short,2025-12-04 17:30:18.787553,2025-12-04 21:01:26.943128,30,3159.46134793,3140.44978405,5.703469,0.471067,5.232402
ETHUSD,long,2025-12-04 21:15:10.385769,2025-12-04 22:01:14.193502,30,3139.73006923,3124.12182482,-4.682473,0.468618,-5.151092
ETHUSD,short,2025-12-04 22:15:18.165507,2025-12-04 22:31:50.181150,30,3132.13240332,3139.6383786,-2.251793,0.470946,-2.722738
ETHUSD,long,2025-12-04 22:45:12.193821,2025-12-05 03:31:43.849338,30,3144.4919224,3172.84836437,8.506933,0.475927,8.031005
BTCUSD,long,2025-12-04 20:15:06.092909,2025-12-05 03:47:12.809410,30,91972.43108246,92264.68267717,8.767548,1.38397,7.383578
