time,HA_open,HA_high,HA_low,HA_close,Trendline
0,90670.5,90718.5,90620.5,90670.0,90718.5
1,90670.25,90683.0,90599.0,90638.25,90718.5
2,90654.25,90668.5,90581.5,90619.375,90718.5
3,90636.8125,90733.0,90591.0,90659.75,90718.5
4,90648.28125,91078.0,90648.28125,90842.0,90718.5
5,90745.140625,90914.0,90745.140625,90850.0,90718.5
6,90797.5703125,91039.5,90797.5703125,90938.5,90718.5
7,90868.03515625,91055.5,90868.03515625,90996.5,90718.5
8,90932.267578125,91139.5,90833.5,90956.375,90833.5
9,90944.3212890625,90944.3212890625,90874.5,90899.25,90833.5
10,90921.78564453125,90989.0,90829.0,90923.25,90833.5
11,90922.51782226562,90994.5,90669.5,90828.25,90833.5
12,90875.38391113281,90875.38391113281,90553.5,90663.5,90833.5
13,90769.4419555664,90769.4419555664,90428.5,90581.625,90833.5
14,90675.5334777832,90675.5334777832,90390.0,90477.75,90833.5
15,90576.6417388916,90576.6417388916,90110.5,90339.375,90833.5
16,90458.0083694458,90485.0,90159.0,90312.0,90833.5
17,90385.0041847229,90611.5,90175.0,90399.25,90833.5
18,90392.12709236145,90695.5,90392.12709236145,90607.625,90833.5
19,90499.87604618073,90765.0,90499.87604618073,90675.0,90833.5
20,90587.43802309036,90827.0,90587.43802309036,90742.375,90833.5
21,90664.90651154518,90801.0,90590.5,90695.875,90833.5
22,90680.39075577259,90680.39075577259,90571.5,90612.5,90833.5
23,90646.4453778863,90646.4453778863,90372.0,90503.0,90833.5
24,90574.72268894315,90664.0,90405.0,90530.125,90833.5
25,90552.42384447157,90794.5,90552.42384447157,90702.25,90833.5
26,90627.33692223579,91011.0,90627.33692223579,90868.875,90833.5
27,90748.1059611179,90993.0,90748.1059611179,90886.5,90833.5
28,90817.30298055895,90954.0,90784.0,90874.0,90833.5
29,90845.65149027947,91029.5,90845.65149027947,90957.0,90833.5
30,90901.32574513974,91023.5,90900.0,90975.125,90833.5
31,90938.22537256987,90979.5,90695.0,90843.625,90833.5
32,90890.92518628493,90890.92518628493,90675.5,90725.0,90833.5
33,90807.96259314247,90878.5,90675.5,90779.75,90833.5
34,90793.85629657123,90896.0,90694.0,90793.125,90833.5
35,90793.49064828562,90793.49064828562,90662.0,90714.625,90833.5
36,90754.0578241428,90858.5,90675.5,90751.875,90833.5
37,90752.9664120714,90869.5,90752.9664120714,90816.75,90833.5
38,90784.8582060357,90822.5,90722.5,90782.0,90833.5
39,90783.42910301784,90894.5,90739.0,90817.375,90833.5
40,90800.40205150892,90917.0,90800.40205150892,90856.375,90833.5
41,90828.38852575446,90877.5,90787.5,90835.5,90833.5
42,90831.94426287722,90869.5,90783.0,90834.25,90833.5
43,90833.09713143861,90999.5,90833.09713143861,90918.125,90833.5
44,90875.6110657193,91025.5,90875.6110657193,90951.625,90833.5
45,90913.61803285965,90990.5,90897.0,90935.5,90833.5
46,90924.55901642982,90930.5,90863.0,90899.75,90833.5
47,90912.15450821491,91004.0,90875.0,90916.125,90833.5
48,90914.13975410745,90959.5,90867.5,90915.125,90833.5
49,90914.63237705373,90959.5,90790.0,90873.125,90833.5
50,90893.87868852686,90893.87868852686,90709.0,90778.375,90833.5
51,90836.12684426343,90836.12684426343,90559.0,90669.875,90833.5
52,90753.00092213172,90753.00092213172,90423.5,90586.75,90833.5
53,90669.87546106585,90875.5,90642.0,90761.125,90833.5
54,90715.50023053293,90891.0,90715.50023053293,90867.25,90833.5
55,90791.37511526646,90945.5,90791.37511526646,90891.875,90833.5
56,90841.62505763324,90909.5,90817.0,90867.375,90833.5
57,90854.50002881662,90873.5,90791.5,90830.375,90833.5
58,90842.43751440832,90842.43751440832,90757.0,90804.625,90833.5
59,90823.53125720416,90823.53125720416,90693.0,90768.125,90833.5
60,90795.82812860208,90795.82812860208,90634.5,90699.875,90833.5
61,90747.85156430103,90752.0,90647.0,90692.25,90833.5
62,90720.05078215052,90791.0,90694.0,90739.375,90833.5
63,90729.71289107527,90845.0,90689.5,90755.0,90833.5
64,90742.35644553763,90882.0,90684.0,90795.125,90833.5
65,90768.74072276882,90908.0,90768.74072276882,90884.5,90833.5
66,90826.62036138441,90899.0,90826.62036138441,90873.25,90833.5
67,90849.9351806922,90940.0,90825.0,90891.75,90833.5
68,90870.8425903461,90949.5,90870.8425903461,90925.5,90833.5
69,90898.17129517306,90944.0,90868.5,90904.875,90833.5
70,90901.52314758653,91009.5,90873.0,90924.375,90833.5
71,90912.94907379326,91006.0,90899.0,90948.125,90833.5
72,90930.53703689663,91380.5,90930.53703689663,91095.125,90833.5
73,91012.83101844831,91183.5,90890.5,91082.125,90833.5
74,91047.47800922416,91264.5,91047.47800922416,91154.25,90833.5
75,91100.86400461209,91554.5,91085.0,91305.75,90833.5
76,91203.30700230604,91589.5,91203.30700230604,91419.125,90833.5
77,91311.21600115302,91389.5,91274.0,91351.625,90833.5
78,91331.42050057651,91413.0,91258.5,91354.0,90833.5
79,91342.71025028825,91426.0,91192.0,91300.125,90833.5
80,91321.41762514412,91356.5,91188.0,91279.0,90833.5
81,91300.20881257206,91355.0,91165.0,91262.625,90833.5
82,91281.41690628603,91281.41690628603,91152.5,91193.5,90833.5
83,91237.45845314302,91357.0,91166.0,91251.5,90833.5
84,91244.47922657151,91302.0,91176.0,91245.0,90833.5
85,91244.73961328575,91244.73961328575,91071.5,91156.75,90833.5
86,91200.74480664288,91200.74480664288,90950.0,91055.125,90833.5
87,91127.93490332144,91228.0,90969.0,91103.75,90833.5
88,91115.84245166072,91343.0,91115.84245166072,91246.125,90833.5
89,91180.98372583036,91441.5,91173.5,91313.375,90833.5
90,91247.17936291518,91505.5,91247.17936291518,91429.125,90833.5
91,91338.15218145758,91489.5,91338.15218145758,91431.375,90833.5
92,91384.76359072879,91944.0,91384.76359072879,91654.625,91384.76359072879
93,91519.6942953644,91863.5,91519.6942953644,91747.5,91384.76359072879
94,91633.5971476822,91772.0,91600.5,91692.125,91384.76359072879
95,91662.86107384111,91744.0,91609.0,91684.75,91384.76359072879
96,91673.80553692055,91681.5,91450.5,91575.625,91384.76359072879
97,91624.71526846028,91624.71526846028,91220.0,91407.375,91384.76359072879
98,91516.04513423014,91516.04513423014,91304.0,91395.5,91384.76359072879
99,91455.77256711507,91466.5,91285.5,91399.75,91384.76359072879
100,91427.76128355754,91578.5,91319.0,91456.625,91384.76359072879
101,91442.19314177877,91548.0,91343.5,91459.0,91384.76359072879
102,91450.59657088938,91468.0,91385.0,91415.75,91384.76359072879
103,91433.17328544469,91472.0,91373.0,91432.75,91384.76359072879
104,91432.96164272234,91754.0,91432.96164272234,91597.0,91384.76359072879
105,91514.98082136117,91745.0,91514.98082136117,91688.5,91384.76359072879
106,91601.74041068059,91828.5,91601.74041068059,91738.25,91384.76359072879
107,91669.9952053403,91798.0,91322.5,91576.875,91384.76359072879
108,91623.43510267015,91623.43510267015,91322.5,91386.5,91384.76359072879
109,91504.96755133508,91504.96755133508,91279.0,91396.125,91384.76359072879
