symbol,side,entry_time,exit_time,qty,entry,exit,gross_pnl,commission,net_pnl
ETHUSD,short,2025-12-05 05:45:01.719654,2025-12-05 15:16:23.453738,30,3156.20610081,3142.68181537,4.057286,0.471402,3.585883
ETHUSD,long,2025-12-05 15:30:06.709846,2025-12-05 16:05:39.265680,30,3137.80227791,3082.46486712,-16.601223,0.46237,-17.063593
BTCUSD,short,2025-12-05 06:00:10.158492,2025-12-06 03:17:18.296574,30,91928.91151192,89730.58426544,65.949817,1.345959,64.603859
ETHUSD,short,2025-12-05 16:30:16.949488,2025-12-06 03:17:18.834734,30,3060.00273348,3038.67335981,6.398812,0.455801,5.943011
BTCUSD,long,2025-12-06 03:30:21.014595,2025-12-06 08:21:15.547446,30,89496.84361409,89408.12142748,-2.661666,1.341122,-4.002787
BTCUSD,short,2025-12-06 08:45:11.443140,2025-12-06 09:31:18.257777,30,89360.85383977,89494.08261756,-3.996863,1.342411,-5.339275
BTCUSD,long,2025-12-06 09:45:01.631007,2025-12-06 15:16:34.895940,30,89605.09523617,89624.42924464,0.58002,1.344366,-0.764346
ETHUSD,long,2025-12-06 03:30:00.427295,2025-12-06 15:18:20.815537,30,3034.7196632,3033.37956335,-0.40203,0.455007,-0.857037
BTCUSD,long,2025-12-06 15:30:17.496732,2025-12-06 19:08:03.691253,30,89654.24177935,89302.54138032,-10.551012,1.339538,-11.89055
BTCUSD,short,2025-12-06 19:15:05.282374,2025-12-07 03:01:25.387677,30,89445.86025456,89575.16781722,-3.879227,1.343628,-5.222854
