entry_time,exit_time,symbol,side,entry_price,exit_price,qty,net_pnl
2026-03-17 06:55:17.287234,2026-03-17 07:15:18.740898,ETHUSD,short,2312.61352488,2324.79212541,100,-13.340997
2026-03-17 07:26:05.225232,2026-03-17 07:54:34.704595,ETHUSD,long,2333.68933428,2324.58561446,100,-10.266013
2026-03-17 09:06:04.371245,2026-03-17 09:25:21.687771,BTCUSD,short,74044.49425472,74222.81606755,100,-21.543322
2026-03-17 09:06:05.634168,2026-03-17 09:25:24.672529,ETHUSD,short,2313.59068279,2319.8815879,100,-7.450846
2026-03-17 10:01:04.059062,2026-03-17 11:05:04.431725,ETHUSD,short,2315.14609898,2315.8920666,100,-1.903914
2026-03-17 09:41:55.413200,2026-03-17 11:05:13.796085,BTCUSD,short,74208.45648435,73819.12475526,100,35.242217
2026-03-17 12:31:10.625323,2026-03-17 13:31:10.871247,ETHUSD,short,2321.04451864,2322.24925401,100,-2.36586
2026-03-17 12:31:29.994226,2026-03-17 13:32:33.671510,BTCUSD,short,73803.61156487,73873.69819946,100,-10.702348
2026-03-17 13:36:16.636422,2026-03-17 13:43:09.505602,ETHUSD,long,2334.9613517,2333.07362237,100,-3.054266
2026-03-17 13:43:25.425699,2026-03-17 13:46:32.148757,ETHUSD,long,2334.89496509,2323.68178139,100,-12.375025
2026-03-17 13:51:18.636659,2026-03-17 14:07:38.066148,BTCUSD,short,73653.3866032,73689.4395391,100,-7.289766
2026-03-17 14:07:54.072494,2026-03-17 14:28:39.435675,BTCUSD,short,73713.92038311,73859.07239394,100,-18.208155
