entry_time,exit_time,symbol,side,entry_price,exit_price,qty,net_pnl
2026-03-15 12:02:41.779893,2026-03-15 12:42:03.446999,BTCUSD,long,71726.49652073,71569.59798346,100,-19.268334
2026-03-15 12:02:42.172668,2026-03-15 12:53:57.492932,ETHUSD,long,2116.83341108,2107.59705327,100,-10.290156
2026-03-15 13:09:03.980869,2026-03-15 13:13:16.926401,BTCUSD,short,71454.01528268,71402.74963356,100,1.556427
2026-03-15 13:13:22.505222,2026-03-15 13:23:41.447044,BTCUSD,short,71384.44133367,71388.62989497,100,-3.988288
2026-03-15 13:23:47.077101,2026-03-15 13:30:21.677841,BTCUSD,short,71405.63231109,71521.67407326,100,-15.18026
2026-03-15 13:40:08.081497,2026-03-15 13:45:12.648821,BTCUSD,short,71282.18091099,71428.55323741,100,-18.20866
2026-03-15 13:45:18.262433,2026-03-15 13:54:41.362015,BTCUSD,short,71398.95273903,71524.64406094,100,-16.145364
2026-03-15 13:07:33.604992,2026-03-15 13:59:45.491419,ETHUSD,short,2107.56388456,2096.75629444,100,9.759212
2026-03-15 14:20:07.841516,2026-03-15 14:45:10.655434,BTCUSD,short,71437.28131689,71485.59325705,100,-8.405474
2026-03-15 14:45:16.227644,2026-03-15 14:56:19.444945,BTCUSD,short,71483.24302499,71572.53746136,100,-12.508071
2026-03-15 15:16:07.065559,2026-03-15 16:05:49.744441,BTCUSD,short,71479.84864945,71547.15792123,100,-10.308285
2026-03-15 14:19:06.443599,2026-03-15 16:06:07.320312,ETHUSD,short,2091.93888017,2096.95735057,100,-6.066949
2026-03-15 16:18:05.815807,2026-03-15 16:39:03.085716,BTCUSD,short,71374.66752551,71453.42635668,100,-11.448554
2026-03-15 16:39:08.640597,2026-03-15 17:08:14.811024,BTCUSD,short,71455.57738772,71465.29635246,100,-4.545161
2026-03-15 16:18:06.119891,2026-03-15 17:52:33.506922,ETHUSD,short,2089.68069142,2101.85691718,100,-13.227154
2026-03-15 17:56:57.679956,2026-03-15 18:12:35.365960,BTCUSD,long,71816.77875975,71700.93530647,100,-15.169392
2026-03-15 17:56:58.062226,2026-03-15 18:47:47.186533,ETHUSD,long,2110.2228886,2101.90899479,100,-9.364848
2026-03-15 18:52:25.158095,2026-03-15 19:05:04.598853,BTCUSD,short,71408.16623108,71443.20216194,100,-7.075753
2026-03-15 18:52:25.523436,2026-03-15 19:13:40.310017,ETHUSD,short,2099.66537678,2106.1330776,100,-7.520767
2026-03-15 19:05:10.549571,2026-03-15 19:14:17.269543,BTCUSD,short,71412.91094244,71482.78432358,100,-10.561477
2026-03-15 19:14:24.171048,2026-03-15 20:16:42.318005,BTCUSD,short,71464.51498957,71543.43947007,100,-11.46962
2026-03-15 20:33:16.999764,2026-03-15 20:46:02.473922,BTCUSD,long,71649.32300284,71722.42461967,100,3.72404
2026-03-15 19:17:48.707551,2026-03-15 21:07:17.941887,ETHUSD,long,2107.72645529,2126.48827802,100,17.698579
2026-03-15 20:46:09.360725,2026-03-15 21:07:30.337106,BTCUSD,long,71739.56033662,71632.69323858,100,-14.268344
2026-03-15 21:28:01.501792,2026-03-15 21:43:13.792197,BTCUSD,long,71769.66394835,72013.0856884,100,20.74152
2026-03-15 21:43:19.664532,2026-03-15 21:47:34.689665,BTCUSD,long,71998.3363174,72036.08169838,100,0.172734
2026-03-15 21:47:41.029541,2026-03-15 22:05:55.488480,BTCUSD,long,72031.93551875,72119.53761935,100,5.154233
2026-03-15 22:06:01.907513,2026-03-15 22:08:19.518958,BTCUSD,long,72118.68128714,71946.56345611,100,-20.809111
2026-03-15 21:07:25.025730,2026-03-15 22:09:38.420412,ETHUSD,long,2126.39603986,2135.91103772,100,8.447042
2026-03-15 22:08:25.584579,2026-03-15 22:11:54.790340,BTCUSD,long,71955.48133216,71812.70479798,100,-17.868289
2026-03-15 22:09:45.829029,2026-03-15 22:16:36.991557,ETHUSD,long,2136.16096997,2126.02466363,100,-11.199319
2026-03-15 22:35:06.322094,2026-03-15 22:45:02.870704,BTCUSD,long,72019.04382916,72318.45892185,100,26.325586
2026-03-15 22:45:09.865933,2026-03-15 22:53:32.952015,BTCUSD,long,72372.32899059,72858.57533522,100,44.981706
2026-03-15 22:33:03.321079,2026-03-15 22:54:33.554125,ETHUSD,long,2152.42109995,2179.94425639,100,26.433184
2026-03-15 22:53:39.890712,2026-03-15 22:54:39.192807,BTCUSD,long,72845.53920476,72669.37494873,100,-21.249894
2026-03-15 22:54:46.131318,2026-03-15 23:07:46.710813,BTCUSD,long,72655.91786925,72982.00776701,100,28.959889
2026-03-15 22:54:40.868650,2026-03-15 23:13:16.151524,ETHUSD,long,2179.5364778,2191.41320128,100,10.781017
