entry_time,exit_time,symbol,side,entry_price,exit_price,qty,net_pnl
2026-02-12 01:51:05,2026-02-12 03:06:09,BTCUSD,short,67660.11508665,67477.20615857,100,14.917033
2026-02-12 03:41:10,2026-02-12 04:18:50,BTCUSD,long,67454.35317912,67283.45678565,100,-20.453812
2026-02-12 04:26:06,2026-02-12 04:31:08,BTCUSD,short,67236.68690342,67177.17626798,100,2.592205
2026-02-12 05:01:06,2026-02-12 05:06:07,BTCUSD,short,66961.60626512,67134.81607844,100,-20.677722
2026-02-12 01:51:06,2026-02-12 05:16:10,ETHUSD,short,1967.15400951,1957.06321257,100,9.112265
2026-02-12 05:31:07,2026-02-12 06:31:10,BTCUSD,long,66859.69438841,67291.3876374,100,39.804756
2026-02-12 05:31:08,2026-02-12 06:31:11,ETHUSD,long,1961.33299716,1977.77380767,100,15.451924
2026-02-12 06:46:08,2026-02-12 08:11:07,ETHUSD,short,1975.81606944,1970.50666863,100,4.324147
2026-02-12 08:16:09,2026-02-12 08:17:56,ETHUSD,long,1967.46222974,1964.87530462,100,-3.569363
2026-02-12 06:56:09,2026-02-12 08:31:07,BTCUSD,short,67110.47500698,66937.36884572,100,13.963748
2026-02-12 08:56:09,2026-02-12 09:31:08,ETHUSD,long,1965.44154626,1974.82492279,100,8.395964
2026-02-12 08:56:08,2026-02-12 09:36:05,BTCUSD,long,67113.40773924,67407.48878357,100,26.03773
2026-02-12 09:56:10,2026-02-12 10:01:06,BTCUSD,long,67519.80914747,67526.0456013,100,-2.752657
2026-02-12 10:21:09,2026-02-12 10:32:04,BTCUSD,short,67477.04046538,67698.51812513,100,-25.532692
2026-02-12 10:21:10,2026-02-12 10:49:20,ETHUSD,short,1979.08242885,1991.99069254,100,-13.904259
2026-02-12 10:56:03,2026-02-12 11:01:08,BTCUSD,long,67870.9449209,67939.67290324,100,3.475815
2026-02-12 11:16:06,2026-02-12 11:20:10,ETHUSD,short,1987.50505938,1991.99972981,100,-5.49067
2026-02-12 11:16:05,2026-02-12 11:28:26,BTCUSD,short,67858.24562306,68104.60000057,100,-28.040668
2026-02-12 11:31:05,2026-02-12 11:36:07,BTCUSD,long,68192.3079879,68110.96763471,100,-11.539584
2026-02-12 11:46:03,2026-02-12 12:26:07,ETHUSD,short,1993.27858442,1981.81001834,100,10.477661
