entry_time,exit_time,symbol,side,entry_price,exit_price,qty,net_pnl
2026-04-22 17:22:25,2026-04-22 22:01:23,ETHUSD,long,2397.12015286,2388.85442199,100,-10.658718
2026-04-22 22:06:26,2026-04-22 22:13:08,ETHUSD,long,2393.72371482,2388.72073358,100,-7.394203
2026-04-22 14:59:20,2026-04-22 22:26:31,BTCUSD,long,78110.6411329,78706.74957972,100,51.769975
2026-04-22 22:31:25,2026-04-23 01:50:15,BTCUSD,long,78762.59016142,78602.65254716,100,-23.862024
2026-04-23 03:13:28,2026-04-23 04:55:25,ETHUSD,long,2404.16198854,2380.84826896,100,-25.706225
2026-04-23 05:23:32,2026-04-23 11:31:06,BTCUSD,short,78173.12939543,78017.71428685,100,7.731969
2026-04-23 05:02:22,2026-04-23 12:32:55,ETHUSD,short,2375.50623553,2353.21536679,100,19.926508
2026-04-23 17:04:48,2026-04-23 17:18:04,ETHUSD,short,2316.01876554,2328.20277916,100,-14.506124
2026-04-23 17:04:47,2026-04-23 17:33:05,BTCUSD,short,77344.65402101,77738.23025772,100,-47.111768
2026-04-23 19:26:20,2026-04-23 19:27:13,BTCUSD,short,77398.06472554,77441.10806081,100,-12.046292
2026-04-23 19:26:04,2026-04-23 19:28:17,ETHUSD,short,2315.2367954,2319.465962,100,-6.546518
