time,Open,High,Low,Close,support,resistance,trend
1779443100000000,77282.0,77331.0,77226.5,77270.5,60655.25,61214.166666666664,sideways
1779444000000000,77270.0,77313.0,77247.5,77275.0,60655.25,61214.166666666664,sideways
1779444900000000,77274.5,77320.0,77222.5,77306.0,60655.25,61214.166666666664,sideways
1779445800000000,77307.0,77337.0,77266.0,77300.0,60655.25,61214.166666666664,sideways
1779446700000000,77300.0,77302.5,77243.0,77283.0,60655.25,61214.166666666664,sideways
1779447600000000,77289.0,77331.5,77255.0,77266.0,60655.25,61214.166666666664,sideways
1779448500000000,77266.0,77317.0,77138.5,77280.5,60655.25,61214.166666666664,sideways
1779449400000000,77280.0,77319.0,77267.0,77307.5,60655.25,61214.166666666664,sideways
1779450300000000,77308.5,77398.5,77286.5,77396.0,60655.25,61214.166666666664,sideways
1779451200000000,77396.0,77528.0,77354.0,77496.0,60655.25,61214.166666666664,sideways
1779452100000000,77496.0,77549.5,77370.5,77393.0,60655.25,61214.166666666664,sideways
1779453000000000,77393.0,77433.0,77367.5,77395.0,60655.25,61214.166666666664,sideways
1779453900000000,77395.0,77498.5,77395.0,77491.0,60655.25,61214.166666666664,sideways
1779454800000000,77492.0,77518.5,77424.0,77461.5,60655.25,61214.166666666664,sideways
1779455700000000,77461.5,77496.0,77274.0,77275.5,60655.25,61214.166666666664,sideways
1779456600000000,77271.5,77343.0,77086.0,77171.0,60655.25,61214.166666666664,sideways
1779457500000000,77171.0,77271.0,77120.0,77257.0,60655.25,61214.166666666664,sideways
1779458400000000,77248.0,77248.0,76940.5,77034.0,60655.25,61214.166666666664,sideways
1779459300000000,77034.0,77077.0,76737.0,76825.0,60655.25,61214.166666666664,sideways
1779460200000000,76825.0,76825.0,76742.5,76788.5,60655.25,61214.166666666664,sideways
1779461100000000,76789.5,76799.0,76702.5,76736.0,60655.25,61214.166666666664,sideways
1779462000000000,76735.0,76923.5,76633.5,76739.5,60655.25,61214.166666666664,sideways
1779462900000000,76738.5,76881.0,76535.0,76880.0,60655.25,61214.166666666664,sideways
1779463800000000,76881.0,76996.0,76612.5,76687.0,60655.25,61214.166666666664,sideways
1779464700000000,76686.0,76796.0,76625.0,76756.5,60655.25,61214.166666666664,sideways
1779465600000000,76757.5,76868.0,76730.0,76850.0,60655.25,61214.166666666664,sideways
