entry_time,exit_time,symbol,side,entry_price,exit_price,qty,net_pnl
2026-06-07 11:45:00,2026-06-07 12:00:01,BTCUSD,short,61649.0,61952.5,1000,-365.30075
2026-06-07 16:30:01,2026-06-07 17:45:01,SOLUSD,long,64.633,63.953,1000,-744.293
2026-06-07 17:45:03,2026-06-07 18:30:01,BTCUSD,short,62061.5,61878.0,1000,121.53025
2026-06-07 18:00:03,2026-06-07 18:30:02,SOLUSD,short,64.012,64.292,1000,-344.152
2026-06-07 19:30:01,2026-06-07 20:00:00,BTCUSD,short,61681.0,62064.5,1000,-445.37275
2026-06-07 20:15:01,2026-06-07 21:00:00,BTCUSD,short,61972.5,61940.0,1000,-29.45625
2026-06-07 18:45:01,2026-06-07 21:15:10,SOLUSD,short,64.302,65.112,1000,-874.707
2026-06-08 00:15:01,2026-06-08 01:00:00,SOLUSD,short,65.242,64.022,1000,1155.368
2026-06-07 21:15:01,2026-06-08 01:00:02,BTCUSD,short,62080.0,61462.0,1000,556.229
2026-06-08 01:15:00,2026-06-08 02:00:01,SOLUSD,short,63.7255,64.473,1000,-811.59925
2026-06-08 02:15:09,2026-06-08 03:15:03,SOLUSD,long,64.524,64.333,1000,-255.4285
2026-06-08 03:30:00,2026-06-08 03:45:00,SOLUSD,long,64.593,67.4,1000,2741.0035
2026-06-08 01:45:01,2026-06-08 03:45:01,BTCUSD,short,61561.5,63700.5,1000,-2201.631
2026-06-07 17:45:00,2026-06-08 03:45:02,ETHUSD,short,1612.05,1705.85,1000,-954.5895
2026-06-08 06:45:00,2026-06-08 07:30:00,SOLUSD,short,65.973,66.144,1000,-237.0585
2026-06-08 08:30:01,2026-06-08 11:00:00,ETHUSD,short,1683.3,1655.9,1000,257.304
2026-06-08 07:00:00,2026-06-08 11:30:00,BTCUSD,short,62802.5,62746.5,1000,-6.7745
2026-06-08 09:45:00,2026-06-08 11:30:02,SOLUSD,short,65.922,65.312,1000,544.383
2026-06-08 11:45:00,2026-06-08 14:00:00,BTCUSD,long,62922.0,63088.0,1000,102.995
2026-06-08 11:45:04,2026-06-08 15:30:03,SOLUSD,short,65.553,66.353,1000,-865.953
