symbol,side,entry_price,exit_price,qty,net_pnl,entry_time,exit_time
ETHUSD,long,2948.07483549,2945.87116599,30,-1.102982,2025-12-25 07:45:00+05:30,2025-12-25 03:33:00.842085
BTCUSD,long,87714.38402026,87740.55153327,30,-0.531083,2025-12-25 07:45:00+05:30,2025-12-25 04:31:54.390451
ETHUSD,short,2946.1476705,2943.00801435,30,0.500446,2025-12-25 09:00:00+05:30,2025-12-25 05:53:15.433497
BTCUSD,short,87728.61988723,87791.41157534,30,-3.200622,2025-12-25 10:00:00+05:30,2025-12-25 06:49:04.958150
BTCUSD,long,87785.23188748,87642.03279055,30,-5.610603,2025-12-25 12:15:00+05:30,2025-12-25 08:16:33.774468
ETHUSD,long,2942.63182606,2927.78504579,30,-4.893202,2025-12-25 11:15:00+05:30,2025-12-25 08:16:33.970671
BTCUSD,short,87655.57568674,87348.42201353,30,7.904384,2025-12-25 13:45:00+05:30,2025-12-25 08:24:03.737960
BTCUSD,long,87459.71338525,87252.25179459,30,-7.532631,2025-12-25 14:15:00+05:30,2025-12-25 10:40:56.684413
ETHUSD,long,2925.947078,2915.83080188,100,-11.574192,2025-12-25 14:15:00+05:30,2025-12-25 10:47:05.359779
BTCUSD,long,87394.94940677,87482.0208555,30,1.299913,2025-12-25 16:15:00+05:30,2025-12-25 12:47:03.369022
ETHUSD,long,2919.68492744,2930.12458915,100,8.974599,2025-12-25 16:15:00+05:30,2025-12-25 13:44:16.053147
BTCUSD,short,87493.89680891,87633.87026479,30,-5.513712,2025-12-25 18:15:00+05:30,2025-12-25 13:46:59.150997
ETHUSD,long,2928.44171811,2922.42541881,100,-7.477512,2025-12-25 19:00:00+05:30,2025-12-25 14:28:33.748624
BTCUSD,short,87595.48776475,87729.23728384,30,-5.328424,2025-12-25 19:45:00+05:30,2025-12-25 15:01:17.770609
ETHUSD,short,2922.68400201,2949.59144433,100,-28.382238,2025-12-25 19:45:00+05:30,2025-12-25 15:27:30.919491
ETHUSD,short,2955.57199474,2944.32364798,100,9.776185,2025-12-25 22:15:00+05:30,2025-12-25 16:51:41.915981
BTCUSD,short,88212.54648365,87824.70746301,30,10.3178,2025-12-25 22:15:00+05:30,2025-12-25 20:26:14.312403
ETHUSD,short,2949.10052299,2938.92492812,100,8.706132,2025-12-25 22:30:00+05:30,2025-12-25 22:29:39.022738
BTCUSD,long,87940.47896346,87615.08736376,30,-11.075974,2025-12-26 02:30:00+05:30,2025-12-25 22:46:59.556689
BTCUSD,short,87758.9884853,89129.96196027,30,-42.466154,2025-12-26 07:30:00+05:30,2025-12-26 02:26:28.761424
