symbol,side,entry_time,exit_time,qty,entry,exit,gross_pnl,commission,net_pnl
BTCUSD,short,2025-12-12 06:31:15.157187,2025-12-12 08:50:18.526967,30,92524.98776708,92285.48458438,7.185095,1.384282,5.800813
ETHUSD,short,2025-12-12 06:31:17.259727,2025-12-12 08:50:20.511745,30,3256.12427838,3243.57286821,3.765423,0.486536,3.278887
BTCUSD,long,2025-12-12 08:56:21.914912,2025-12-12 10:16:52.455532,30,92224.2967191,92471.20351684,7.407204,1.387068,6.020136
ETHUSD,long,2025-12-12 08:56:23.882237,2025-12-12 10:16:54.884076,30,3243.24155343,3250.46041222,2.165658,0.487569,1.678089
ETHUSD,short,2025-12-12 10:21:20.853796,2025-12-12 12:00:09.259230,30,3245.37634211,3241.11095697,1.279616,0.486167,0.793449
BTCUSD,short,2025-12-12 10:21:18.912938,2025-12-12 12:48:07.845246,30,92429.56738516,92162.74120608,8.004785,1.382441,6.622344
BTCUSD,long,2025-12-12 12:51:20.889470,2025-12-12 13:28:26.136199,30,92296.14566574,92273.95137308,-0.665829,1.384109,-2.049938
ETHUSD,long,2025-12-12 12:01:22.739129,2025-12-12 13:28:28.046131,30,3238.24764585,3242.35430052,1.231996,0.486353,0.745643
ETHUSD,short,2025-12-12 13:31:17.911565,2025-12-12 14:21:39.292017,30,3243.6378592,3238.84204219,1.438745,0.485826,0.952919
BTCUSD,short,2025-12-12 13:31:15.988372,2025-12-12 14:36:54.974905,30,92284.54296594,92447.96391074,-4.902628,1.386719,-6.289348
ETHUSD,short,2025-12-12 14:26:05.337679,2025-12-12 14:37:20.652644,30,3229.07508754,3245.75805088,-5.004889,0.486864,-5.491753
ETHUSD,long,2025-12-12 14:41:21.492570,2025-12-12 15:07:33.009401,30,3231.10996802,3207.86734779,-6.972786,0.48118,-7.453966
BTCUSD,short,2025-12-12 15:06:19.189187,2025-12-12 16:25:10.923875,30,92128.10737728,90058.20382965,62.097106,1.350873,60.746233
ETHUSD,short,2025-12-12 15:16:23.546442,2025-12-12 16:26:24.475387,30,3199.52655278,3077.69828093,36.548482,0.461655,36.086827
BTCUSD,long,2025-12-12 16:26:22.564476,2025-12-12 16:38:51.823273,30,90172.20823536,89502.43671014,-20.093146,1.342537,-21.435682
BTCUSD,long,2025-12-12 16:56:08.493596,2025-12-12 18:57:29.240429,30,89985.22468186,90331.95619778,10.401945,1.354979,9.046966
BTCUSD,short,2025-12-12 19:01:05.686344,2025-12-12 20:42:28.858884,30,90243.62744444,90045.38416838,5.947298,1.350681,4.596618
ETHUSD,long,2025-12-12 16:31:15.935815,2025-12-12 21:24:46.969003,30,3074.99304427,3078.96142572,1.190514,0.461844,0.72867
ETHUSD,short,2025-12-12 21:26:22.449423,2025-12-12 21:36:49.112130,30,3081.10046179,3088.0881567,-2.096308,0.463213,-2.559522
ETHUSD,short,2025-12-12 21:56:09.104377,2025-12-12 22:14:00.465599,30,3082.1606189,3090.40559025,-2.473491,0.463561,-2.937052
ETHUSD,long,2025-12-12 22:21:15.206506,2025-12-12 22:48:56.549849,30,3090.49420741,3087.8137816,-0.804128,0.463172,-1.2673
ETHUSD,short,2025-12-12 22:51:21.405987,2025-12-12 23:02:10.650576,30,3088.6143551,3093.57506764,-1.488214,0.464036,-1.95225
ETHUSD,short,2025-12-12 23:21:25.735842,2025-12-13 00:01:38.202867,30,3091.05092551,3086.74226653,1.292598,0.463011,0.829586
BTCUSD,long,2025-12-12 20:46:28.679133,2025-12-13 00:02:00.150710,30,90115.04595432,90171.50195813,1.69368,1.352573,0.341108
BTCUSD,long,2025-12-13 00:06:23.996450,2025-12-13 00:28:07.209561,30,90400.74560664,90273.4363415,-3.819278,1.354102,-5.173379
ETHUSD,long,2025-12-13 00:06:25.867129,2025-12-13 00:48:48.570958,30,3093.83870024,3081.84120324,-3.599249,0.462276,-4.061525
ETHUSD,long,2025-12-13 01:01:18.336383,2025-12-13 01:44:14.508622,30,3086.34663853,3080.75475297,-1.677566,0.462113,-2.139679
BTCUSD,short,2025-12-13 00:31:20.435097,2025-12-13 02:00:40.822136,30,90285.89599449,90214.68274847,2.136397,1.35322,0.783177
BTCUSD,long,2025-12-13 02:01:28.621122,2025-12-13 03:50:02.323827,30,90200.08587955,90324.91418393,3.744849,1.354874,2.389975
ETHUSD,long,2025-12-13 02:01:06.660962,2025-12-13 03:53:41.404368,30,3084.15859059,3088.3791557,1.26617,0.463257,0.802913
BTCUSD,short,2025-12-13 03:51:13.994894,2025-12-13 05:56:25.304460,30,90335.94788062,90295.00101597,1.228406,1.354425,-0.126019
ETHUSD,short,2025-12-13 03:56:05.752015,2025-12-13 05:56:49.345048,30,3088.46691765,3088.38993558,0.023095,0.463258,-0.440164
BTCUSD,long,2025-12-13 06:02:41.727181,2025-12-13 07:37:40.200899,30,90331.8925518,90320.40333528,-0.344676,1.354806,-1.699483
BTCUSD,short,2025-12-13 07:41:41.322025,2025-12-13 08:17:41.350686,30,90305.32701723,90415.62390614,-3.308907,1.356234,-4.665141
BTCUSD,long,2025-12-13 08:21:41.371696,2025-12-13 08:43:55.185370,30,90478.56123979,90335.13819333,-4.302691,1.355027,-5.657718
