time,HA_open,HA_high,HA_low,HA_close,trendline
0,70343.25,70758.0,70182.5,70406.75,70406.75
1,70375.0,70375.5,69837.5,70102.75,70406.75
2,70238.875,70238.875,69253.5,69620.625,70406.75
3,69929.75,69929.75,68806.5,69176.25,70406.75
4,69553.0,69553.0,68495.0,68756.25,70406.75
5,69154.625,69154.625,67962.0,68330.75,70406.75
6,68742.6875,68742.6875,67969.5,68226.75,70406.75
7,68484.71875,68484.71875,66956.0,67768.375,70406.75
8,68126.546875,68126.546875,66725.0,67252.375,70406.75
9,67689.4609375,67689.4609375,66672.5,66969.625,67689.4609375
10,67329.54296875,67584.0,66847.5,67221.125,67689.4609375
11,67275.333984375,67782.5,67202.5,67493.25,67689.4609375
12,67384.2919921875,67594.5,66973.0,67387.375,67689.4609375
13,67385.83349609375,68233.5,67385.83349609375,67720.875,67689.4609375
14,67553.35424804688,67807.5,67285.5,67552.5,67689.4609375
15,67552.92712402344,67749.5,67183.5,67406.75,67689.4609375
16,67479.83856201172,67499.5,66915.0,67143.875,67689.4609375
17,67311.85678100586,67453.0,66921.0,67081.375,67689.4609375
18,67196.61589050293,67667.0,67018.5,67278.375,67689.4609375
19,67237.49544525146,68149.5,67237.49544525146,67758.875,67689.4609375
20,67498.18522262573,68229.5,67498.18522262573,68089.125,67689.4609375
21,67793.65511131287,68447.0,67793.65511131287,68169.125,67689.4609375
22,67981.39005565643,68361.5,67913.5,68113.625,67689.4609375
23,68047.50752782822,68083.5,67783.5,67918.625,67689.4609375
24,67983.06626391411,67983.06626391411,67549.5,67832.0,67689.4609375
25,67907.53313195705,68666.0,67907.53313195705,68274.375,67689.4609375
26,68090.95406597853,68632.0,68090.95406597853,68382.375,67689.4609375
27,68236.66453298926,68349.0,67696.0,68016.0,67689.4609375
28,68126.33226649463,68126.33226649463,67349.0,67623.625,67689.4609375
29,67874.97863324732,67874.97863324732,67127.0,67292.125,67689.4609375
30,67583.55181662366,67583.55181662366,66817.5,67038.875,67689.4609375
31,67311.21340831183,67617.0,66408.0,67108.625,67689.4609375
32,67209.91920415591,67636.5,67209.91920415591,67448.5,67689.4609375
33,67329.20960207796,67522.5,66489.0,67034.375,67689.4609375
34,67181.79230103898,67181.79230103898,66619.5,66840.125,67689.4609375
35,67010.95865051949,67312.0,66826.0,67021.0,67689.4609375
36,67015.97932525974,67315.5,66725.5,66986.625,67689.4609375
37,67001.30216262987,67001.30216262987,66563.5,66741.25,67689.4609375
38,66871.27608131494,66871.27608131494,66134.0,66376.125,67689.4609375
39,66623.70054065748,66623.70054065748,66137.5,66261.125,67689.4609375
40,66442.41277032874,66444.0,66160.0,66273.125,67689.4609375
41,66357.76888516438,66507.0,66197.5,66349.25,67689.4609375
42,66353.50944258219,66526.0,65759.0,66126.75,67689.4609375
43,66240.1297212911,66240.1297212911,65457.0,65844.875,67689.4609375
44,66042.50236064555,66086.5,65557.5,65872.25,67689.4609375
45,65957.37618032278,66008.0,65469.0,65720.875,67689.4609375
46,65839.12559016139,65839.12559016139,65505.5,65656.0,67689.4609375
47,65747.5627950807,65943.0,65605.0,65746.125,67689.4609375
48,65746.84389754036,65965.5,65365.0,65653.25,67689.4609375
49,65700.04694877018,65981.5,65465.0,65695.375,67689.4609375
50,65697.71097438509,66455.0,65697.71097438509,66075.125,67689.4609375
51,65886.41798719254,66457.0,65886.41798719254,66255.0,67689.4609375
52,66070.70899359627,66621.5,66070.70899359627,66271.375,67689.4609375
53,66171.04199679813,66436.5,66046.0,66227.375,67689.4609375
54,66199.20849839906,66556.5,66145.5,66341.375,67689.4609375
55,66270.29174919953,66407.0,65846.5,66149.875,67689.4609375
56,66210.08337459977,66210.08337459977,65607.5,65843.625,67689.4609375
57,66026.85418729988,66027.0,65657.0,65865.5,67689.4609375
58,65946.17709364994,66144.0,65818.0,65969.375,67689.4609375
59,65957.77604682496,66019.0,65711.5,65873.0,67689.4609375
60,65915.38802341248,65915.5,65459.5,65676.875,67689.4609375
61,65796.13151170625,65796.13151170625,65166.5,65406.25,67689.4609375
62,65601.19075585312,65601.19075585312,65206.5,65292.0,67689.4609375
63,65446.59537792656,65545.5,65160.0,65289.375,67689.4609375
64,65367.985188963285,65684.0,65060.5,65390.875,67689.4609375
65,65379.43009448164,65634.0,64992.0,65315.25,67689.4609375
66,65347.340047240825,65347.340047240825,64006.0,64587.125,67689.4609375
67,64967.23252362041,64967.23252362041,63506.0,64052.125,67689.4609375
68,64509.67876181021,64509.67876181021,63340.0,63887.375,67689.4609375
69,64198.526880905105,64198.526880905105,63387.0,63728.625,67689.4609375
70,63963.57594045255,64003.0,63083.0,63614.375,67689.4609375
71,63788.97547022627,64133.5,63530.0,63748.75,67689.4609375
72,63768.862735113136,63868.0,63124.0,63475.875,67689.4609375
73,63622.368867556565,63622.368867556565,62515.5,62948.625,67689.4609375
74,63285.49693377828,63788.0,62239.0,63081.875,63788.0
75,63183.68596688914,64642.0,63183.68596688914,64100.75,63788.0
76,63642.21798344457,64753.0,63642.21798344457,64242.0,63788.0
77,63942.108991722285,63991.5,63382.0,63674.5,63788.0
78,63808.30449586114,63808.30449586114,62895.0,63241.625,63788.0
79,63524.96474793057,64196.5,62859.0,63478.0,63788.0
80,63501.482373965286,63981.5,63355.0,63797.625,63788.0
81,63649.55368698265,64229.0,63461.0,63788.5,63788.0
82,63719.02684349132,63867.5,63284.5,63619.375,63788.0
83,63669.200921745665,64150.0,63512.5,63798.125,63788.0
84,63733.66296087283,63999.5,63638.0,63739.875,63788.0
85,63736.76898043642,63736.76898043642,63113.0,63433.0,63788.0
86,63584.88449021821,63584.88449021821,63014.0,63239.0,63788.0
87,63411.94224510911,63505.5,63108.5,63286.25,63788.0
88,63349.096122554554,63651.5,62675.5,63315.875,63788.0
89,63332.48556127728,63745.0,63332.48556127728,63547.875,63788.0
90,63440.18028063864,63585.5,62656.5,63170.125,63788.0
91,63305.15264031932,63305.15264031932,62724.0,62941.25,63788.0
92,63123.20132015966,64300.5,62890.0,63586.125,63788.0
93,63354.66316007983,64592.5,63354.66316007983,64055.625,63788.0
94,63705.144080039914,63926.5,63605.5,63791.125,63788.0
95,63748.13454001996,64105.0,63742.0,63919.625,63788.0
96,63833.87977000998,64055.0,63687.5,63939.5,63788.0
97,63886.68988500499,64506.5,63886.68988500499,64229.0,63788.0
98,64057.844942502496,64399.5,63842.0,64131.625,63788.0
99,64094.73497125125,64775.5,63765.0,64286.5,63788.0
