entry_time,exit_time,symbol,side,entry_price,exit_price,qty,net_pnl
2026-02-11 10:56:05,2026-02-11 10:56:11,ETHUSD,short,1978.00959212,1977.55710236,100,-0.536289
2026-02-11 11:01:08,2026-02-11 11:01:18,ETHUSD,long,1976.21705805,1976.78598144,100,-0.41947
2026-02-11 11:06:12,2026-02-11 11:07:30,ETHUSD,short,1975.08956841,1977.35311718,100,-3.252225
2026-02-11 11:01:08,2026-02-11 13:01:09,BTCUSD,short,67496.53794686,66918.20335613,100,54.487549
2026-02-11 13:06:07,2026-02-11 13:38:42,BTCUSD,long,67145.66316236,66847.14308195,100,-33.194365
2026-02-11 13:56:08,2026-02-11 13:58:05,BTCUSD,long,66978.89413201,66864.51763976,100,-14.780875
2026-02-11 14:11:04,2026-02-11 14:37:06,BTCUSD,long,66978.69825662,66866.04369876,100,-14.608758
2026-02-11 14:46:07,2026-02-11 14:46:14,BTCUSD,short,66922.01472545,66931.44934375,100,-4.290034
2026-02-11 14:51:07,2026-02-11 14:53:09,BTCUSD,short,66815.60392371,66874.05239535,100,-9.18855
2026-02-11 14:56:12,2026-02-11 14:56:18,BTCUSD,short,66882.42252337,66877.84637367,100,-2.886277
2026-02-11 15:01:10,2026-02-11 15:09:41,BTCUSD,long,66966.34158225,66857.55329213,100,-14.221707
2026-02-11 15:16:09,2026-02-11 16:41:07,BTCUSD,short,66792.0868645,66655.31765749,100,10.344155
2026-02-11 11:16:08,2026-02-11 16:41:08,ETHUSD,short,1972.98562629,1943.16174257,100,28.852303
2026-02-11 16:46:02,2026-02-11 16:46:59,ETHUSD,long,1942.26340083,1940.89279696,100,-2.34105
2026-02-11 16:46:08,2026-02-11 18:16:07,BTCUSD,long,66653.92866199,67043.32131752,100,35.587099
2026-02-11 16:51:10,2026-02-11 18:16:07,ETHUSD,long,1951.04923073,1949.50053937,100,-2.523442
2026-02-11 18:21:07,2026-02-11 18:21:21,ETHUSD,short,1951.11605729,1951.23626972,100,-1.095831
2026-02-11 18:21:06,2026-02-11 18:24:35,BTCUSD,short,67074.45485313,67114.84144077,100,-7.394401
2026-02-11 18:31:07,2026-02-11 18:32:37,BTCUSD,long,67132.0793327,67090.3153595,100,-7.530913
2026-02-11 18:36:09,2026-02-11 18:36:15,ETHUSD,short,1951.15249788,1952.13290574,100,-1.956474
2026-02-11 18:41:09,2026-02-11 19:00:13,BTCUSD,short,66894.52750388,67127.55185777,100,-26.658813
2026-02-11 18:41:11,2026-02-11 19:00:13,ETHUSD,short,1945.57457392,1956.52671033,100,-11.9304
2026-02-11 19:06:06,2026-02-11 20:11:09,BTCUSD,long,67295.88691792,67200.7416878,100,-12.87456
2026-02-11 19:06:07,2026-02-11 20:11:10,ETHUSD,long,1956.64552962,1961.47589248,100,3.849625
2026-02-11 20:16:03,2026-02-11 21:16:09,BTCUSD,short,67202.74349593,66727.67866496,100,44.170099
2026-02-11 21:26:03,2026-02-11 21:26:09,BTCUSD,short,66572.91559243,66590.41479792,100,-5.079441
2026-02-11 21:31:09,2026-02-11 21:31:15,BTCUSD,long,66431.03556559,66392.66831415,100,-7.156359
2026-02-11 20:16:03,2026-02-11 21:46:09,ETHUSD,short,1963.98496361,1946.63591849,100,16.375727
2026-02-11 21:51:13,2026-02-11 21:58:46,ETHUSD,long,1952.5398434,1934.86088365,100,-18.64639
2026-02-11 21:41:07,2026-02-11 22:05:31,BTCUSD,long,66872.20688292,66429.05681603,100,-47.63646
2026-02-11 22:11:03,2026-02-11 22:46:04,BTCUSD,short,66430.4564848,66311.32739048,100,8.597343
2026-02-11 22:06:06,2026-02-11 22:46:05,ETHUSD,short,1924.74330095,1919.10907637,100,4.67467
2026-02-11 22:51:06,2026-02-11 23:37:41,ETHUSD,long,1923.84004446,1917.14133631,100,-7.657279
2026-02-11 22:51:06,2026-02-12 01:06:09,BTCUSD,long,66399.01119202,67459.76984243,100,102.702877
2026-02-11 23:51:08,2026-02-12 01:06:10,ETHUSD,long,1931.77131894,1944.45087091,100,11.707327
2026-02-12 01:11:05,2026-02-12 01:37:00,BTCUSD,long,67707.35224583,67399.82140901,100,-34.123075
2026-02-12 01:51:05,2026-02-12 01:52:28,BTCUSD,long,67524.06226114,67482.40515062,100,-7.539831
2026-02-12 01:16:06,2026-02-12 01:56:05,ETHUSD,long,1951.12285643,1943.40660534,100,-8.687954
2026-02-12 02:01:08,2026-02-12 02:17:44,ETHUSD,short,1943.68274665,1949.42830578,100,-6.720273
2026-02-12 01:56:05,2026-02-12 02:18:31,BTCUSD,short,67364.46706692,67502.86982387,100,-17.215419
2026-02-12 02:26:08,2026-02-12 02:30:34,BTCUSD,long,67508.77945614,67475.97966969,100,-6.653778
2026-02-12 02:41:05,2026-02-12 03:21:14,BTCUSD,long,67681.05892394,67934.78222376,100,21.975591
2026-02-12 02:21:13,2026-02-12 03:36:09,ETHUSD,long,1952.34881091,1967.65612264,100,14.323484
2026-02-12 03:26:03,2026-02-12 05:36:11,BTCUSD,short,67869.42870938,67167.02844145,100,66.881675
2026-02-12 03:41:08,2026-02-12 05:41:04,ETHUSD,short,1963.55075674,1951.38817983,100,11.186883
2026-02-12 05:46:05,2026-02-12 05:52:20,ETHUSD,long,1951.34886459,1949.05276668,100,-3.270624
2026-02-12 05:41:04,2026-02-12 07:26:06,BTCUSD,long,67347.82746639,67625.37856359,100,24.373841
2026-02-12 06:06:04,2026-02-12 07:26:07,ETHUSD,long,1960.36912443,1965.85279852,100,4.500748
